Wavelength,Intensity,Group
433.92,9269.5,Blue
434.39,9712.5,Blue
434.85,10141.5,Blue
435.32,10618.5,Blue
435.78,11091.5,Blue
436.25,11674,Blue
436.71,12160,Blue
437.18,12724.5,Blue
437.64,13335,Blue
438.11,13972,Blue
438.57,14684.5,Blue
439.04,15279.5,Blue
439.5,15990.5,Blue
439.97,16664.5,Blue
440.43,17387.5,Blue
440.89,18090,Blue
441.36,18922.5,Blue
441.82,19771.5,Blue
442.29,20746.5,Blue
442.75,21546.5,Blue
443.22,22588.5,Blue
443.68,23710,Blue
444.14,24673.5,Blue
444.61,25804.5,Blue
445.07,26944.5,Blue
445.54,28095.5,Blue
446,29338.5,Blue
446.47,30602,Blue
446.93,31960.5,Blue
447.39,33366.5,Blue
447.86,34844.5,Blue
448.32,36332.5,Blue
448.79,37911,Blue
449.25,39330,Blue
449.71,41109,Blue
450.18,42637.5,Blue
450.64,44139,Blue
451.1,45776.5,Blue
451.57,46982.5,Blue
452.03,48349.5,Blue
452.5,49775,Blue
452.96,50924,Blue
453.42,52041.5,Blue
453.89,53286,Blue
454.35,54152.5,Blue
454.81,54727.5,Blue
455.28,55236,Blue
455.74,55777.5,Blue
456.2,55811.5,Blue
456.67,55793.5,Blue
457.13,55544.5,Blue
457.59,55111.5,Blue
458.06,54460.5,Blue
458.52,53618,Blue
458.98,52878,Blue
459.45,51840.5,Blue
459.91,50733,Blue
460.37,49441,Blue
460.84,48174,Blue
461.3,46591,Blue
461.76,45170,Blue
462.23,43633.5,Blue
462.69,42184.5,Blue
463.15,40655,Blue
463.62,39104,Blue
464.08,37775,Blue
464.54,36481.5,Blue
465,35161.5,Blue
465.47,33911.5,Blue
465.93,32850.5,Blue
466.39,31657.5,Blue
466.86,30696.5,Blue
467.32,29687,Blue
467.78,28807.5,Blue
468.24,27994.5,Blue
468.71,27086.5,Blue
469.17,26405.5,Blue
469.63,25586.5,Blue
470.09,24808.5,Blue
470.56,24269.5,Blue
471.02,23524,Blue
471.48,23030,Blue
471.94,22234,Blue
472.41,21745,Blue
472.87,21093.5,Blue
473.33,20529,Blue
473.79,19874,Blue
474.26,19201.5,Blue
474.72,18742,Blue
475.18,18168,Blue
475.64,17569,Blue
476.11,16883,Blue
476.57,16393.5,Blue
477.03,15767.5,Blue
477.49,15237.5,Blue
477.95,14769.5,Blue
478.42,14159.5,Blue
478.88,13672,Blue
479.34,13236,Blue
479.8,12713,Blue
480.26,12364.5,Blue
480.73,11825.5,Blue
481.19,11519.5,Blue
481.65,11098.5,Blue
482.11,10733,Blue
482.57,10442.5,Blue
483.04,10041,Blue
483.5,9695,Blue
483.96,9268,Blue
484.42,9055.5,Blue
484.88,8846.5,Blue
485.34,8604,Blue
485.81,8585,Blue
486.27,8295.5,Blue
486.73,8118,Blue
487.19,7857,Blue
487.65,7706.5,Blue
488.11,7537.5,Blue
488.57,7339.5,Blue
489.04,7253,Blue
489.5,7049,Blue
489.96,6910,Blue
490.42,6781.5,Blue
490.88,6658,Blue
491.34,6457,Blue
491.8,6387.5,Blue
492.27,6254,Blue
492.73,6125.5,Blue
493.19,5962,Blue
493.65,5888,Blue
494.11,5774.5,Blue
494.57,5678.5,Blue
495.03,5568,Blue
495.49,5418,Blue
495.95,5349,Blue
496.41,5253,Blue
496.88,5172.5,Blue
497.34,5086,Blue
497.8,5007.5,Blue
498.26,4937,Blue
498.72,4815,Blue
499.18,4766.5,Blue
499.64,4678.5,Blue
500.1,4604,Blue
500.56,4585,Blue
501.02,4501.5,Blue
501.48,4476.5,Blue
501.94,4402,Blue
502.4,4328,Blue
502.86,4323.5,Blue
503.32,4242.5,Blue
503.79,4221,Blue
504.25,4183,Blue
504.71,4097,Blue
505.17,4087.5,Blue
505.63,4078,Blue
506.09,4049,Blue
506.55,3975.5,Blue
507.01,3945,Blue
507.47,3920.5,Blue
507.93,3927,Blue
508.39,3855,Blue
508.85,3846.5,Blue
509.31,3825.5,Blue
509.77,3796,Blue
510.23,3786,Blue
510.69,3766.5,Blue
511.15,3731.5,Blue
511.61,3733.5,Blue
512.07,3706.5,Blue
512.53,3688,Blue
512.99,3656,Blue
513.45,3645,Blue
513.91,3614.5,Blue
514.37,3613.5,Blue
514.83,3587,Blue
515.29,3565.5,Blue
515.75,3571.5,Blue
516.21,3538.5,Blue
516.67,3540,Blue
517.13,3521,Blue
517.59,3500.5,Blue
518.05,3489.5,Blue
518.5,3492.5,Blue
518.96,3505.5,Blue
519.42,3480.5,Blue
519.88,3467,Blue
520.34,3433.5,Blue
520.8,3450.5,Blue
521.26,3429.5,Blue
521.72,3428.5,Blue
522.18,3421.5,Blue
522.64,3415.5,Blue
523.1,3405.5,Blue
523.56,3388,Blue
524.02,3405,Blue
524.48,3391.5,Blue
524.94,3384,Blue
525.39,3367,Blue
525.85,3365.5,Blue
526.31,3368,Blue
526.77,3353.5,Blue
527.23,3348,Blue
527.69,3346.5,Blue
528.15,3329.5,Blue
528.61,3337,Blue
529.07,3319,Blue
529.52,3329.5,Blue
529.98,3319,Blue
530.44,3332.5,Blue
530.9,3314,Blue
531.36,3309.5,Blue
531.82,3310,Blue
532.28,3314,Blue
532.74,3287,Blue
533.19,3331,Blue
533.65,3289.5,Blue
534.11,3306.5,Blue
534.57,3310.5,Blue
535.03,3286.5,Blue
535.49,3287,Blue
535.95,3304,Blue
536.4,3285.5,Blue
536.86,3303.5,Blue
537.32,3295,Blue
537.78,3279,Blue
538.24,3281,Blue
538.7,3291,Blue
539.15,3251.5,Blue
539.61,3273,Blue
540.07,3273.5,Blue
540.53,3277.5,Blue
540.99,3260,Blue
541.44,3270.5,Blue
541.9,3269,Blue
542.36,3269,Blue
542.82,3257.5,Blue
543.28,3270.5,Blue
543.73,3253.5,Blue
544.19,3250,Blue
544.65,3265.5,Blue
545.11,3256.5,Blue
545.57,3257,Blue
546.02,3259.5,Blue
546.48,3254,Blue
546.94,3251,Blue
547.4,3240.5,Blue
547.85,3282.5,Blue
548.31,3276,Blue
548.77,3267,Blue
549.23,3237.5,Blue
549.68,3253.5,Blue
550.14,3246,Blue
550.6,3242.5,Blue
551.06,3259,Blue
551.51,3273.5,Blue
551.97,3241,Blue
552.43,3253,Blue
552.89,3245,Blue
553.34,3258,Blue
553.8,3236,Blue
554.26,3232,Blue
554.72,3235,Blue
555.17,3241.5,Blue
555.63,3241,Blue
556.09,3244,Blue
556.54,3223.5,Blue
557,3258,Blue
557.46,3238,Blue
557.92,3228.5,Blue
558.37,3246,Blue
558.83,3226,Blue
559.29,3221.5,Blue
559.74,3222,Blue
560.2,3249,Blue
560.66,3212.5,Blue
561.11,3223.5,Blue
561.57,3224.5,Blue
562.03,3232,Blue
562.48,3235,Blue
562.94,3232,Blue
563.4,3240.5,Blue
563.85,3232,Blue
564.31,3233,Blue
564.77,3258.5,Blue
565.22,3227,Blue
565.68,3243.5,Blue
566.14,3232,Blue
566.59,3229,Blue
567.05,3238,Blue
567.51,3231,Blue
567.96,3260,Blue
568.42,3225,Blue
568.88,3228.5,Blue
569.33,3263.5,Blue
569.79,3222.5,Blue
570.24,3248,Blue
570.7,3227,Blue
571.16,3235.5,Blue
571.61,3217.5,Blue
572.07,3229.5,Blue
572.53,3222,Blue
572.98,3245,Blue
573.44,3220,Blue
573.89,3244.5,Blue
574.35,3233,Blue
574.81,3215.5,Blue
575.26,3236,Blue
575.72,3244.5,Blue
576.17,3226.5,Blue
576.63,3221.5,Blue
577.09,3212.5,Blue
577.54,3243,Blue
578,3220.5,Blue
578.45,3239,Blue
578.91,3214.5,Blue
579.36,3216,Blue
579.82,3219.5,Blue
580.28,3232,Blue
580.73,3227,Blue
581.19,3252.5,Blue
581.64,3218,Blue
582.1,3243.5,Blue
582.55,3211,Blue
583.01,3220,Blue
583.46,3217.5,Blue
583.92,3227,Blue
584.37,3229.5,Blue
584.83,3212,Blue
585.29,3222,Blue
585.74,3209.5,Blue
586.2,3211.5,Blue
586.65,3240,Blue
587.11,3213.5,Blue
587.56,3223,Blue
588.02,3232,Blue
588.47,3210,Blue
588.93,3220.5,Blue
589.38,3224,Blue
589.84,3218,Blue
590.29,3225,Blue
590.75,3231,Blue
591.2,3220.5,Blue
591.66,3220,Blue
592.11,3220.5,Blue
592.57,3226.5,Blue
593.02,3215,Blue
593.48,3228.5,Blue
593.93,3212.5,Blue
594.39,3228.5,Blue
594.84,3210.5,Blue
595.29,3236.5,Blue
595.75,3210,Blue
596.2,3245,Blue
596.66,3217.5,Blue
597.11,3207.5,Blue
597.57,3219.5,Blue
598.02,3227,Blue
598.48,3220,Blue
598.93,3226,Blue
599.39,3248,Blue
599.84,3227,Blue
600.29,3213,Blue
600.75,3208,Blue
601.2,3231,Blue
601.66,3213,Blue
602.11,3218.5,Blue
602.57,3217.5,Blue
603.02,3214.5,Blue
603.47,3230,Blue
603.93,3224,Blue
604.38,3224,Blue
604.84,3215.5,Blue
605.29,3220,Blue
605.74,3217,Blue
606.2,3250,Blue
606.65,3215,Blue
607.11,3221.5,Blue
607.56,3216.5,Blue
608.01,3217,Blue
608.47,3218.5,Blue
608.92,3218,Blue
609.38,3232,Blue
609.83,3220.5,Blue
610.28,3222,Blue
610.74,3232,Blue
611.19,3204,Blue
611.64,3211.5,Blue
612.1,3213.5,Blue
612.55,3236,Blue
613,3221.5,Blue
613.46,3222.5,Blue
613.91,3220,Blue
614.37,3193.5,Blue
614.82,3215.5,Blue
615.27,3211,Blue
615.73,3203.5,Blue
616.18,3221,Blue
616.63,3206.5,Blue
617.09,3205,Blue
617.54,3193,Blue
617.99,3233,Blue
618.45,3211,Blue
618.9,3197,Blue
619.35,3221.5,Blue
619.8,3210.5,Blue
620.26,3210.5,Blue
620.71,3239,Blue
621.16,3230,Blue
621.62,3216,Blue
622.07,3220,Blue
622.52,3226,Blue
622.98,3207.5,Blue
623.43,3223,Blue
623.88,3226.5,Blue
624.33,3222.5,Blue
624.79,3230,Blue
625.24,3204.5,Blue
625.69,3225.5,Blue
626.15,3224.5,Blue
626.6,3210,Blue
627.05,3230.5,Blue
627.5,3192.5,Blue
627.96,3214,Blue
628.41,3205.5,Blue
628.86,3208,Blue
629.31,3228.5,Blue
629.77,3213,Blue
630.22,3224,Blue
630.67,3219,Blue
631.12,3210.5,Blue
631.58,3231.5,Blue
632.03,3219.5,Blue
632.48,3209.5,Blue
632.93,3244,Blue
633.39,3211.5,Blue
633.84,3224.5,Blue
634.29,3209.5,Blue
634.74,3224.5,Blue
635.19,3210.5,Blue
635.65,3216,Blue
636.1,3223,Blue
636.55,3221.5,Blue
637,3233.5,Blue
637.45,3266.5,Blue
637.91,3213,Blue
638.36,3204.5,Blue
638.81,3219.5,Blue
639.26,3218,Blue
639.71,3219.5,Blue
640.17,3212,Blue
640.62,3244,Blue
641.07,3221,Blue
641.52,3221.5,Blue
641.97,3212.5,Blue
642.43,3205,Blue
642.88,3225,Blue
643.33,3222.5,Blue
643.78,3228.5,Blue
644.23,3231.5,Blue
644.68,3228,Blue
645.13,3233.5,Blue
645.59,3222,Blue
646.04,3233,Blue
646.49,3217.5,Blue
646.94,3210.5,Blue
647.39,3233,Blue
647.84,3227,Blue
648.29,3225.5,Blue
648.75,3220.5,Blue
649.2,3225,Blue
649.65,3207.5,Blue
650.1,3224.5,Blue
650.55,3240,Blue
651,3237,Blue
651.45,3225.5,Blue
651.9,3232,Blue
652.36,3222,Blue
652.81,3207.5,Blue
653.26,3216,Blue
653.71,3211.5,Blue
654.16,3231.5,Blue
654.61,3220.5,Blue
655.06,3216,Blue
655.51,3235,Blue
655.96,3218,Blue
656.41,3218.5,Blue
656.86,3227.5,Blue
657.32,3221,Blue
657.77,3237.5,Blue
658.22,3210.5,Blue
658.67,3212.5,Blue
659.12,3207.5,Blue
659.57,3215.5,Blue
660.02,3200.5,Blue
660.47,3225,Blue
660.92,3211,Blue
661.37,3215,Blue
661.82,3227.5,Blue
662.27,3206,Blue
662.72,3232,Blue
663.17,3207,Blue
663.62,3217.5,Blue
664.07,3204,Blue
664.52,3227.5,Blue
664.97,3217.5,Blue
665.42,3211.5,Blue
665.87,3234.5,Blue
666.32,3215.5,Blue
666.77,3212,Blue
667.23,3224,Blue
667.68,3207,Blue
668.13,3228,Blue
668.58,3206,Blue
669.03,3210.5,Blue
669.48,3220.5,Blue
669.93,3224,Blue
670.38,3209,Blue
670.83,3222,Blue
671.28,3204.5,Blue
671.72,3198,Blue
672.17,3219,Blue
672.62,3206,Blue
673.07,3205.5,Blue
673.52,3224.5,Blue
673.97,3212.5,Blue
674.42,3221,Blue
674.87,3200,Blue
675.32,3213.5,Blue
675.77,3187,Blue
676.22,3209.5,Blue
676.67,3223.5,Blue
677.12,3204.5,Blue
677.57,3215,Blue
678.02,3198.5,Blue
678.47,3206,Blue
678.92,3215.5,Blue
679.37,3217.5,Blue
679.82,3229.5,Blue
680.27,3211.5,Blue
680.72,3202,Blue
681.17,3215,Blue
681.61,3211.5,Blue
682.06,3203.5,Blue
682.51,3251,Blue
682.96,3202.5,Blue
683.41,3220,Blue
683.86,3210,Blue
684.31,3205.5,Blue
684.76,3235,Blue
685.21,3221,Blue
685.66,3195,Blue
686.11,3221,Blue
686.55,3213.5,Blue
687,3214.5,Blue
687.45,3229.5,Blue
687.9,3197.5,Blue
688.35,3211.5,Blue
688.8,3213,Blue
689.25,3209.5,Blue
689.7,3215.5,Blue
690.14,3203,Blue
690.59,3207.5,Blue
691.04,3200.5,Blue
691.49,3201,Blue
691.94,3203.5,Blue
692.39,3218,Blue
692.84,3216,Blue
693.29,3208,Blue
693.73,3204,Blue
694.18,3226,Blue
694.63,3215.5,Blue
695.08,3215,Blue
695.53,3187,Blue
695.98,3211,Blue
696.42,3208,Blue
696.87,3220.5,Blue
697.32,3260.5,Blue
697.77,3229,Blue
698.22,3209,Blue
698.66,3210.5,Blue
699.11,3207.5,Blue
699.56,3203.5,Blue
700.01,3218.5,Blue
700.46,3231.5,Blue
700.91,3210,Blue
701.35,3227.5,Blue
701.8,3200,Blue
702.25,3203.5,Blue
702.7,3209.5,Blue
703.14,3199,Blue
703.59,3217,Blue
704.04,3212.5,Blue
704.49,3192,Blue
704.94,3198.5,Blue
705.38,3210.5,Blue
705.83,3196,Blue
706.28,3211.5,Blue
706.73,3205.5,Blue
707.17,3228,Blue
707.62,3216.5,Blue
708.07,3192.5,Blue
708.52,3213.5,Blue
708.96,3218,Blue
709.41,3212.5,Blue
709.86,3215,Blue
710.31,3210,Blue
710.75,3206,Blue
711.2,3195,Blue
711.65,3213.5,Blue
712.1,3222,Blue
712.54,3210,Blue
712.99,3203.5,Blue
713.44,3211.5,Blue
713.89,3214.5,Blue
714.33,3217.5,Blue
714.78,3219.5,Blue
715.23,3204.5,Blue
715.67,3198.5,Blue
716.12,3197,Blue
716.57,3200.5,Blue
717.02,3220,Blue
717.46,3224,Blue
717.91,3213,Blue
718.36,3195,Blue
718.8,3200.5,Blue
719.25,3214,Blue
719.7,3205,Blue
720.14,3227.5,Blue
720.59,3212.5,Blue
721.04,3184,Blue
721.48,3209,Blue
721.93,3202.5,Blue
722.38,3243.5,Blue
722.82,3206,Blue
723.27,3223,Blue
723.72,3218.5,Blue
724.16,3221,Blue
724.61,3222.5,Blue
725.06,3215,Blue
725.5,3218,Blue
725.95,3189,Blue
726.4,3193,Blue
726.84,3211.5,Blue
727.29,3200.5,Blue
727.74,3201.5,Blue
728.18,3223,Blue
728.63,3206.5,Blue
729.07,3214.5,Blue
729.52,3243,Blue
729.97,3209,Blue
730.41,3199.5,Blue
730.86,3192,Blue
731.31,3214.5,Blue
731.75,3205.5,Blue
732.2,3206.5,Blue
732.64,3213.5,Blue
733.09,3207,Blue
733.54,3201.5,Blue
733.98,3209.5,Blue
734.43,3214.5,Blue
