"Gene_ID","Kmeans_Cluster"
"g_01262","7"
"g_01270","1"
"g_01271","3"
"g_01274","3"
"g_01275","3"
"g_01277","10"
"g_01278","3"
"g_01279","3"
"g_01280","3"
"g_01286","8"
"g_01287","7"
"g_01288","3"
"g_01291","7"
"g_01295","5"
"g_01296","6"
"g_01299","9"
"g_01304","9"
"g_01310","1"
"g_01316","3"
"g_01317","3"
"g_01319","3"
"g_01320","5"
"g_01322","1"
"g_01323","3"
"g_01324","10"
"g_01326","1"
"g_01327","10"
"g_01328","3"
"g_01329","3"
"g_01331","3"
"g_01332","1"
"g_01334","3"
"g_01335","5"
"g_01337","10"
"g_01342","4"
"g_01344","1"
"g_01351","3"
"g_01352","3"
"g_01353","7"
"g_01355","8"
"g_01358","6"
"g_01362","5"
"g_01363","3"
"g_01365","7"
"g_01367","8"
"g_01369","1"
"g_01375","8"
"g_01377","3"
"g_01378","3"
"g_01380","3"
"g_01381","7"
"g_01384","3"
"g_01386","8"
"g_01388","3"
"g_01389","5"
"g_01392","6"
"g_01394","3"
"g_01395","3"
"g_01396","3"
"g_01397","1"
"g_01398","5"
"g_01400","1"
"g_01403","6"
"g_01404","3"
"g_01408","5"
"g_01409","9"
"g_01415","8"
"g_01417","8"
"g_01419","5"
"g_01426","6"
"g_01427","8"
"g_01429","3"
"g_01430","5"
"g_01436","1"
"g_01437","10"
"g_01441","9"
"g_01445","6"
"g_01446","8"
"g_01455","8"
"g_01456","9"
"g_01463","5"
"g_01466","8"
"g_01467","3"
"g_01468","3"
"g_01471","5"
"g_01475","8"
"g_01476","10"
"g_01477","3"
"g_01478","3"
"g_01479","3"
"g_01481","3"
"g_01482","3"
"g_01484","7"
"g_01491","7"
"g_01492","8"
"g_01495","8"
"g_01497","3"
"g_01498","5"
"g_01502","3"
"g_01506","7"
"g_01509","8"
"g_01510","3"
"g_01511","1"
"g_01512","3"
"g_01521","8"
"g_01522","10"
"g_01523","3"
"g_01527","3"
"g_01528","3"
"g_01529","6"
"g_01530","3"
"g_01531","3"
"g_01532","10"
"g_01540","3"
"g_01541","10"
"g_01543","5"
"g_01544","6"
"g_01546","3"
"g_01547","3"
"g_01552","9"
"g_01553","3"
"g_01554","3"
"g_01555","3"
"g_01562","7"
"g_01565","5"
"g_01572","8"
"g_01573","3"
"g_01574","3"
"g_01581","8"
"g_01582","3"
"g_01584","3"
"g_01588","3"
"g_01593","3"
"g_01594","3"
"g_01604","7"
"g_01605","3"
"g_01609","2"
"g_01614","3"
"g_01615","3"
"g_01616","3"
"g_01617","8"
"g_01619","5"
"g_01620","3"
"g_01622","3"
"g_01629","3"
"g_01630","3"
"g_01631","3"
"g_01632","10"
"g_01634","3"
"g_01639","3"
"g_01640","1"
"g_01641","3"
"g_01642","3"
"g_01643","5"
"g_01646","5"
"g_01657","3"
"g_01658","6"
"g_01660","7"
"g_01663","7"
"g_01665","5"
"g_01668","7"
"g_01675","3"
"g_01676","3"
"g_01677","3"
"g_01678","3"
"g_01680","3"
"g_01684","8"
"g_01685","3"
"g_01686","1"
"g_01690","3"
"g_01691","1"
"g_01693","3"
"g_01698","8"
"g_01709","3"
"g_01710","8"
"g_01713","8"
"g_01714","1"
"g_01715","3"
"g_01717","3"
"g_01719","5"
"g_01721","3"
"g_01724","3"
"g_01725","5"
"g_01726","5"
"g_01736","6"
"g_01744","7"
"g_01745","5"
"g_01752","5"
"g_01753","3"
"g_01754","9"
"g_01755","3"
"g_01760","4"
"g_01761","1"
"g_01762","8"
"g_01763","8"
"g_01764","3"
"g_01765","3"
"g_01770","6"
"g_01773","6"
"g_01774","8"
"g_01775","9"
"g_01777","1"
"g_01779","5"
"g_01780","3"
"g_01784","8"
"g_01785","9"
"g_01786","3"
"g_01787","8"
"g_01793","5"
"g_01797","3"
"g_01802","10"
"g_01806","3"
"g_01807","5"
"g_01811","1"
"g_01812","8"
"g_01813","8"
"g_01814","3"
"g_01817","1"
"g_01819","3"
"g_01820","5"
"g_01821","10"
"g_01824","6"
"g_01826","3"
"g_01827","3"
"g_01832","3"
"g_01837","8"
"g_01838","8"
"g_01839","9"
"g_01840","3"
"g_01846","4"
"g_01848","3"
"g_01850","6"
"g_01853","8"
"g_01854","3"
"g_01858","2"
"g_01859","8"
"g_01860","8"
"g_01861","5"
"g_01862","3"
"g_01863","3"
"g_01866","3"
"g_01868","10"
"g_01869","8"
"g_01870","4"
"g_01873","3"
"g_01876","1"
"g_01879","9"
"g_01881","3"
"g_01883","3"
"g_01885","7"
"g_01889","6"
"g_01890","1"
"g_01891","3"
"g_01892","9"
"g_01899","8"
"g_01900","10"
"g_01901","3"
"g_01902","3"
"g_01903","3"
"g_01913","9"
"g_01914","3"
"g_01915","3"
"g_01926","8"
"g_01927","8"
"g_01929","3"
"g_01932","3"
"g_01934","8"
"g_01935","1"
"g_01944","3"
"g_01947","7"
"g_01948","8"
"g_01949","1"
"g_01951","3"
"g_01952","4"
"g_01961","1"
"g_01962","9"
"g_01963","3"
"g_01964","3"
"g_01970","3"
"g_01971","4"
"g_01972","3"
"g_01977","1"
"g_01979","1"
"g_01980","3"
"g_01984","10"
"g_01987","8"
"g_01988","5"
"g_01998","8"
"g_01999","3"
"g_02000","9"
"g_02003","3"
"g_02004","6"
"g_02010","8"
"g_02011","7"
"g_02013","1"
"g_02018","10"
"g_02019","5"
"g_02024","3"
"g_02025","3"
"g_02026","3"
"g_02028","3"
"g_02029","3"
"g_02030","5"
"g_02032","9"
"g_02034","9"
"g_02040","2"
"g_02041","6"
"g_02042","3"
"g_02043","3"
"g_02044","5"
"g_02048","3"
"g_02049","5"
"g_02050","3"
"g_02051","3"
"g_02052","3"
"g_02054","3"
"g_02057","10"
"g_02061","3"
"g_02062","8"
"g_02065","3"
"g_02066","5"
"g_02069","5"
"g_02071","8"
"g_02072","3"
"g_02074","6"
"g_02075","9"
"g_02077","3"
"g_02079","3"
"g_02080","5"
"g_02082","1"
"g_02084","8"
"g_02085","5"
"g_02087","6"
"g_02090","3"
"g_02091","3"
"g_02092","1"
"g_02093","3"
"g_02094","3"
"g_02101","3"
"g_02106","3"
"g_02107","1"
"g_02108","10"
"g_02109","3"
"g_02111","3"
"g_02112","5"
"g_02113","3"
"g_02117","8"
"g_02118","3"
"g_02119","3"
"g_02122","3"
"g_02125","2"
"g_02127","1"
"g_02128","9"
"g_02129","3"
"g_02131","3"
"g_02136","5"
"g_02143","1"
"g_02144","8"
"g_02145","3"
"g_02148","3"
"g_02149","3"
"g_02150","3"
"g_02153","4"
"g_02155","8"
"g_02156","3"
"g_02157","3"
"g_02158","3"
"g_02160","7"
"g_02166","5"
"g_02168","8"
"g_02171","6"
"g_02172","1"
"g_02173","3"
"g_02175","4"
"g_02177","3"
"g_02181","5"
"g_02182","1"
"g_02184","8"
"g_02185","7"
"g_02186","3"
"g_02187","6"
"g_02194","4"
"g_02195","6"
"g_02196","3"
"g_02200","1"
"g_02204","5"
"g_02207","3"
"g_02209","7"
"g_02215","3"
"g_02216","6"
"g_02225","3"
"g_02226","8"
"g_02227","3"
"g_02228","7"
"g_02229","8"
"g_02230","3"
"g_02231","10"
"g_02232","3"
"g_02234","3"
"g_02237","3"
"g_02239","10"
"g_02242","6"
"g_02244","8"
"g_02245","9"
"g_02247","3"
"g_02253","8"
"g_02254","8"
"g_02255","8"
"g_02256","3"
"g_02257","8"
"g_02259","5"
"g_02265","3"
"g_02266","3"
"g_02269","5"
"g_02270","3"
"g_02271","3"
"g_02276","9"
"g_02290","9"
"g_02291","8"
"g_02292","1"
"g_02293","3"
"g_02294","1"
"g_02300","8"
"g_02301","7"
"g_02302","8"
"g_02303","3"
"g_02304","3"
"g_02305","3"
"g_02306","3"
"g_02308","1"
"g_02309","5"
"g_02312","5"
"g_02314","3"
"g_02316","8"
"g_02318","3"
"g_02320","6"
"g_02321","3"
"g_02322","3"
"g_02323","9"
"g_02324","3"
"g_02326","5"
"g_02329","8"
"g_02330","3"
"g_02331","8"
"g_02332","3"
"g_02333","3"
"g_02334","6"
"g_02336","5"
"g_02341","8"
"g_02342","3"
"g_02344","3"
"g_02345","3"
"g_02346","3"
"g_02348","5"
"g_02351","3"
"g_02352","3"
"g_02355","1"
"g_02361","5"
"g_02366","10"
"g_02370","4"
"g_02372","5"
"g_02373","3"
"g_02374","3"
"g_02376","3"
"g_02378","5"
"g_02381","3"
"g_02382","3"
"g_02384","3"
"g_02385","3"
"g_02392","3"
"g_02397","1"
"g_02399","6"
"g_02400","6"
"g_02401","3"
"g_02402","3"
"g_02406","3"
"g_02410","8"
"g_02411","8"
"g_02413","8"
"g_02414","3"
"g_02421","8"
"g_02428","2"
"g_02429","3"
"g_02430","3"
"g_02435","4"
"g_02439","5"
"g_02440","3"
"g_02441","5"
"g_02442","5"
"g_02443","3"
"g_02444","8"
"g_02445","3"
"g_02446","3"
"g_02448","9"
"g_02450","3"
"g_02460","3"
"g_02461","3"
"g_02462","3"
"g_02464","5"
"g_02471","3"
"g_02475","3"
"g_02476","3"
"g_02477","10"
"g_02478","3"
"g_02479","3"
"g_02480","1"
"g_02489","3"
"g_02490","5"
"g_02491","5"
"g_02493","3"
"g_02496","5"
"g_02501","8"
"g_02502","3"
"g_02503","3"
"g_02507","1"
"g_02509","1"
"g_02510","1"
"g_02511","3"
"g_02514","5"
"g_02520","8"
"g_02521","3"
"g_02522","3"
"g_02524","10"
"g_02528","8"
"g_02529","9"
"g_02530","3"
"g_02531","3"
"g_02532","3"
"g_02533","3"
"g_02534","3"
"g_02539","3"
"g_02540","3"
"g_02549","10"
"g_02551","6"
"g_02552","3"
"g_02553","3"
"g_02556","3"
"g_02558","1"
"g_02560","3"
"g_02566","9"
"g_02568","4"
"g_02569","8"
"g_02570","3"
"g_02573","3"
"g_02584","8"
"g_02585","3"
"g_02586","3"
"g_02588","3"
"g_02594","1"
"g_02595","8"
"g_02596","1"
"g_02597","3"
"g_02601","4"
"g_02605","3"
"g_02606","8"
"g_02608","9"
"g_02609","5"
"g_02622","3"
"g_02623","8"
"g_02624","3"
"g_02625","3"
"g_02626","3"
"g_02628","3"
"g_02629","3"
"g_02630","3"
"g_02631","10"
"g_02639","3"
"g_02640","3"
"g_02641","3"
"g_02642","8"
"g_02643","3"
"g_02648","3"
"g_02650","5"
"g_02651","3"
"g_02652","3"
"g_02653","5"
"g_02656","3"
"g_02657","3"
"g_02666","7"
"g_02669","3"
"g_02670","3"
"g_02671","5"
"g_02672","3"
"g_02674","1"
"g_02676","1"
"g_02677","1"
"g_02678","3"
"g_02680","5"
"g_02683","9"
"g_02688","4"
"g_02696","3"
"g_02697","3"
"g_02698","10"
"g_02699","3"
"g_02700","3"
"g_02701","5"
"g_02702","5"
"g_02706","2"
"g_02707","2"
"g_02708","6"
"g_02709","3"
"g_02711","3"
"g_02712","3"
"g_02713","1"
"g_02718","10"
"g_02719","4"
"g_02720","8"
"g_02721","8"
"g_02722","3"
"g_02723","3"
"g_02730","1"
"g_02731","3"
"g_02732","3"
"g_02733","5"
"g_02736","8"
"g_02737","4"
"g_02738","3"
"g_02739","3"
"g_02740","3"
"g_02741","3"
"g_02744","2"
"g_02745","3"
"g_02747","3"
"g_02748","3"
"g_02759","3"
"g_02760","3"
"g_02761","4"
"g_02765","3"
"g_02770","3"
"g_02773","3"
"g_02776","9"
"g_02778","7"
"g_02780","5"
