"gene_id","tSNE1","tSNE2","DGI_label","DGI_sub_label","Kmeans_label","Kmeans_subcel_label","HC_label"
"g_27851",-0.840101306346215,-42.9116306878008,"Cluster 3","Cluster 2","Cluster 6","Cluster 7","Cluster 1"
"g_27853",2.45138550908793,-33.7664241815592,"Cluster 3","Cluster 2","Cluster 6","Cluster 7","Cluster 1"
"g_27865",39.6511590603638,-19.02191711562,"Cluster 8","Cluster 8","Cluster 3","Cluster 4","Cluster 3"
"g_27871",-54.0360782235849,17.1563709348272,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_27888",-3.14957598498297,44.1191043259684,"Cluster 4","Cluster 1","Cluster 7","Cluster 10","Cluster 1"
"g_27890",22.9635818123753,26.3989397001892,"Cluster 9","Cluster 1","Cluster 8","Cluster 6","Cluster 1"
"g_27893",18.4159875467954,-45.9825711960046,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_27975",-42.3508978722795,-8.44726634875546,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_27980",-52.6158654872358,8.78754359231299,"Cluster 7","Cluster 7","Cluster 2","Cluster 2","Cluster 1"
"g_28009",-43.1198866816265,-7.42721892734378,"Cluster 7","Cluster 10","Cluster 8","Cluster 8","Cluster 1"
"g_28010",-47.7132841714308,26.9174554132831,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_28042",-39.8543630166319,22.2999839914701,"Cluster 7","Cluster 7","Cluster 8","Cluster 2","Cluster 1"
"g_28067",28.2449286905513,-34.4929772403984,"Cluster 3","Cluster 2","Cluster 3","Cluster 4","Cluster 1"
"g_28076",22.6649188932415,-42.5926459027959,"Cluster 3","Cluster 2","Cluster 6","Cluster 7","Cluster 1"
"g_28077",5.25402953399248,-20.0467041151195,"Cluster 3","Cluster 10","Cluster 6","Cluster 7","Cluster 1"
"g_28126",5.25491612619115,-39.7502500785788,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_28132",-15.2176771910524,-13.040573111998,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_28134",-46.0488927845406,-0.948592722268423,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_28182",-10.6056689706532,-14.383013291799,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_28191",8.79716319589057,-54.3676403123318,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_28244",49.8623155820471,-13.3474893357761,"Cluster 8","Cluster 8","Cluster 4","Cluster 4","Cluster 3"
"g_28252",-5.1819255192936,-25.4485158140757,"Cluster 3","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_28290",-10.0782732131788,45.888936441688,"Cluster 4","Cluster 9","Cluster 7","Cluster 4","Cluster 3"
"g_28292",-6.0898663569361,-32.2141430365442,"Cluster 3","Cluster 10","Cluster 6","Cluster 6","Cluster 1"
"g_28298",-46.9462686649091,-9.07970681401627,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_28303",-3.82968141810416,-6.41779658424235,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_28309",46.5353689820822,-14.7535898057184,"Cluster 8","Cluster 8","Cluster 4","Cluster 3","Cluster 3"
"g_28314",-11.9532177325981,-31.1738682964903,"Cluster 3","Cluster 10","Cluster 6","Cluster 7","Cluster 1"
"g_28364",-50.5246107377163,-6.79960654575826,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_28371",34.6777849110311,-0.499162613828963,"Cluster 1","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
